station_code,logger_serial,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationType,ResultAnalyticalMethodContext,ResultAnalyticalMethodID,ResultAnalyticalMethodName,ActivityMediaName,ActivityType,SampleCollectionEquipmentName,CharacteristicName,ResultUnit,ResultValueType
01FW001,21481630,01FW001,Kuzkwa River Below Tezzeron Lake,54.79725,-124.692778,WGS84,River/Stream,HOBO,MX2201,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW001,21731728,01FW001,Kuzkwa River Below Tezzeron Lake,54.79725,-124.692778,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW002,21731700,01FW002,Endako River Above Stellako River,54.081073,-125.0037,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW003,,01FW003,Cheslatta Lake Above Sather Creek,53.748097,-125.454681,WGS84,River/Stream,HOBO,,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW004,21731718,01FW004,Stellako River Above Fraser Lake,54.044093,-124.92479,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW005,21731773,01FW005,Nechako At Miworth,53.956389,-122.928806,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW006,21685847,01FW006,Glacier Creek Above Nadina Lake,53.865368,-127.032612,WGS84,River/Stream,HOBO,MX2201,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW007,21731727,01FW007,Otter Creek Below Finger Lake,53.552806,-124.288944,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW008,21731747,01FW008,Cheslatta River Below Murray Lake,53.6449,-124.9757,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW009,21731726,01FW009,Nadina Lake,53.90701,-126.976617,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW010,,01FW010,Skins Lake Spillway,53.774917,-125.991694,WGS84,River/Stream,HOBO,MX2201,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW011,21731713,01FW011,Tachie River Above Stuart Lake,54.703333,-124.797222,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW012,21304514,01FW012,Nadina River Below Nadina Lake,53.96688,-126.864074,WGS84,River/Stream,HOBO,MX2201,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW012,21731720,01FW012,Nadina River Below Nadina Lake,53.96688,-126.864074,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW013,21731709,01FW013,Nechako River Off Dellwood Road,53.985667,-123.8275,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW014,,01FW014,Nadina River Above Nadina Lake,53.907184,-127.103049,WGS84,River/Stream,HOBO,MX2201,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
01FW015,21731712,01FW015,Stuart River Above Nechako River,54.165139,-123.628694,WGS84,River/Stream,HOBO,MX2203,,Surface Water,Field Msr/Obs-Continuous Time Series,Probe/Sensor,"Temperature, water",deg C,Actual
